date,year,month,price_index_(on_basis_of_marks_before_july_1924__reichsmarks_after),date
1923-08-01,1923.0,8.0,94404100.0,1923-08-01
1923-09-01,1923.0,9.0,2394889300.0,1923-09-01
1923-10-01,1923.0,10.0,709480000000.0,1923-10-01
1923-11-01,1923.0,11.0,72570000000000.0,1923-11-01
1923-12-01,1923.0,12.0,126160000000000.0,1923-12-01
1924-01-01,1924.0,1.0,117320000000000.0,1924-01-01
1924-02-01,1924.0,2.0,116170000000000.0,1924-02-01
1924-03-01,1924.0,3.0,120670000000000.0,1924-03-01
1924-04-01,1924.0,4.0,124050000000000.0,1924-04-01
1924-05-01,1924.0,5.0,122460000000000.0,1924-05-01
1924-06-01,1924.0,6.0,115900000000000.0,1924-06-01
1924-07-01,1924.0,7.0,115.0,1924-07-01
1924-08-01,1924.0,8.0,120.0,1924-08-01
1924-09-01,1924.0,9.0,127.0,1924-09-01
1924-10-01,1924.0,10.0,131.0,1924-10-01
1924-11-01,1924.0,11.0,129.0,1924-11-01
1924-12-01,1924.0,12.0,131.0,1924-12-01
