,beginning_year,ending_year,revenue,expenditures,deﬁcit,percentage_of_expenditures_covered_by_issues_of_paper_money
0,1920.0,1921.0,10520.0,20210.0,9690.0,47.9
1,1921.0,1922.0,20296.0,26764.0,6468.0,24.1
2,1922.0,1923.0,152802.0,193455.0,40653.0,21.0
3,1923.0,1924.0,2168140.0,3307099.0,1138959.0,34.4
