"Table 3.21 Balance Sheet of German Reichsbank, 1921-24",,,,,,,,,,,,,,,,,,,,,
Year,Month,Day,"Gold Held Abroad","Gold In vault","Gold Total","Other metallic currency","Total coin and bullion","Foreign exchange","Treasury and loan bank notes","Notes of other banks","Rentenbank notes","Discounted bills: Treasury bills","Discounted bills: Commercial bills","Total discounted treasury and commercial bills",Advances,Securities,"Notes in circulation","Public Demand deposits","Other Demand deposits","Total demand deposits","Demand deposits due to the Rentenbank"
1923,November,30,11312,455713,467025,4723004,5190029,—,"178,540,780,992<s>b</s>","82,686,780<s>b</s>",—,"96,874,330,250<s>b</s>","347,301,037,776<s>b</s>","444,175,368,026<s>b</s>","7,742,665,263<s>b</s>","336,495,629<s>b</s>","400,267,640,302<s>b</s>",120478936906,253497803653,373976740559,—
1923,December,—,21312,445718,467030,1887375,2354405,—,"202,232,340,999<s>b</s>","33,009,141<s>b</s>",—,—<s>c</s>,"322,724,948,986<s>b</s>","322,724,948,986<s>b</s>","268,325,819,530<s>b</s>","65,791,385<s>b</s>","496,507,424,772<s>b</s>",303114560004,244909637001,548024197005,—
1924<s>d</s>,January,—,21312,445719,467031,782774,1249805,—,9256,7,177780," —"," —",755866,336520,12,483675,492985,281320,281305,200000
1924,February,—,21312,443553,464865,327305,792170,—,9539,1,15591,—,—,1165649,306618,25,587875,367551,282958,650509,400000
1924,March,—,21247,443593,464840,416602,881442,—,4124,1,225389,—,—,1767443,143102,533,689864,352360,352334,704694,800000
1924,April,—,16138,425689,441827,273,442100,—,1252,1,242836,"— ","— ",1916969,156362,91984,776949,474411,330561,804972,800000
1924,May,—,16138,425775,441913,6187,448100,—,982,—,321836,"— ","— ",1954930,128597,80011,926874,545252,259203,804455,800000
1924,June,—,30318,431869,462187,23498,485685,—,698,—,278188,"— ","— ",1897959,108789,76378,1097309,493043,280884,773927,800000
1924,July,—,44948,439374,484322,26107,510429,—,473,—,267997,—," — ",1798097,62489,76509,1211038,452597,290390,742987,800000
1924,August,—,77083,439401,516484,26066,542550,—,415,—,237470,"— ","— ",1860843,59983,76331,1391895,264064,297791,561855,800000
1924,September,—,136463,441456,577919,21729,599648,—,340,—,222469," — ","— ",2169684,54424,78305,1520511,307515,362581,670096,800000
1924,October,15<s>e</s>,172143,441482,613625,59359,672984,204541,—,—,—,"— ","— ",2153943,15947,77517,1396748,—,—,828511,800000
1924,October,31,240033,454191,694224,55437,749661,231407,—,3,—,"— ","— ",2339616,33443,77699,1780930,—,—,708728,800000
1924,November,—,240033,455454,695487,49525,745012,231829,—,6788,—,"— ","— ",2290166,18628,77808,1863200,—,—,703938,800000
1924,December,—,207114,552495,759609,46379,805988,253202,—,7625,—," — ","— ",2064094,16960,77999,1941440,—,—,820865,456508
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Source: Young (1925, 1:524–25, 528–29).",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Note: End of month figures, in thousands of current marks; from January 1924",,,,,,,,,,,,,,,,,,,,,
"in thousands of rentenmarks or reichsmarks. 1 rentenmark is equivalent to",,,,,,,,,,,,,,,,,,,,,
"1 reichsmark or 1 trillion (1012 ) former paper marks. The reichsmark is the",,,,,,,,,,,,,,,,,,,,,
"equivalent of the gold mark worth 23.82 cents.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Note <s>a</s> The large increase of advances at the close of November 1922 occurred because",,,,,,,,,,,,,,,,,,,,,
"the Reichsbank had to take over temporarily the financing of food supplies from",,,,,,,,,,,,,,,,,,,,,
"the loan bureaus (Darlehnskassen), as the latter were unable to extend the needed",,,,,,,,,,,,,,,,,,,,,
"accommodation, their outstanding notes having reached the maximum amount",,,,,,,,,,,,,,,,,,,,,
"permitted by law",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Note <s>b</s> In billions.",,,,,,,,,,,,,,,,,,,,,
"Note <s>c</s> A decree of 15 November 1923 discontinued the discounting of treasury bills by
the Reichsbank.",,,,,,,,,,,,,,,,,,,,,
"Note <s>d</s> See note above.",,,,,,,,,,,,,,,,,,,,,
"Note <s>e</s> Date of first statement of reorganized Reichsbank.",,,,,,,,,,,,,,,,,,,,,
